DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
46113;COT1;Transfacil;OP1;Auto Omnibus Floramar Ltda;EQ10;CONNECTION CCIT 4.0;108;1;1%
46113;COT1;Transfacil;OP33;Viação Anchieta Ltda;EQ10;CONNECTION CCIT 4.0;155;1;1%
46113;COT1;Transfacil;OP34;Viação Euclásio Ltda;EQ10;CONNECTION CCIT 4.0;25;0;0%
46113;COT1;Transfacil;OP42;Viação Sandra Ltda;EQ10;CONNECTION CCIT 4.0;27;0;0%
46113;COT1;Transfacil;OP35;Viação Fênix Ltda;EQ10;CONNECTION CCIT 4.0;30;0;0%
46113;COT1;Transfacil;OP43;Viação São Geraldo Ltda;EQ10;CONNECTION CCIT 4.0;30;0;0%
46113;COT24;GVBUS;OP116;SERRAMAR TRANSPORTE COLETIVO LTDA;EQ10;CONNECTION CCIT 4.0;164;2;1%
46113;COT24;GVBUS;OP120;NOVA TRANSPORTES LTDA.;EQ10;CONNECTION CCIT 4.0;266;2;1%
46113;COT24;GVBUS;OP118;EXPRESSO SANTA PAULA LTDA.;EQ10;CONNECTION CCIT 4.0;146;3;2%
46113;COT24;GVBUS;OP123;VIAÇÃO SATÉLITE LTDA.;EQ10;CONNECTION CCIT 4.0;197;4;2%
46113;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ10;CONNECTION CCIT 4.0;0;0;0%
46113;COT4;Setut;OP73;PIAUIENSE;EQ10;CONNECTION CCIT 4.0;42;0;0%
46113;COT4;Setut;OP80;TRANSCOL;EQ10;CONNECTION CCIT 4.0;102;0;0%
46113;COT2;Transcard;OP57;CONSÓRCIO PLATAFORMA;EQ10;CONNECTION CCIT 4.0;998;37;4%
46113;COT1;Transfacil;OP28;Transcbel Transporte Coletivo BH Ltda;EQ10;CONNECTION CCIT 4.0;42;0;0%
46113;COT1;Transfacil;OP17;Rodap-Comer-Particip. Empreend. L.;EQ10;CONNECTION CCIT 4.0;46;0;0%
46113;COT1;Transfacil;OP36;Viação Getulio Vargas Ltda;EQ10;CONNECTION CCIT 4.0;67;0;0%
46113;COT1;Transfacil;OP9;Coletivos São Lucas Ltda;EQ10;CONNECTION CCIT 4.0;70;0;0%
46113;COT1;Transfacil;OP10;Coletur Coletivos Urbanos Soc. Ltda;EQ10;CONNECTION CCIT 4.0;73;0;0%
46113;COT1;Transfacil;OP23;São Dimas Transportes Ltda;EQ10;CONNECTION CCIT 4.0;86;0;0%
46113;COT2;Transcard;OP59;COOPSTECS / COOPETACS;EQ10;CONNECTION CCIT 4.0;209;5;2%
46113;COT33;FLORIANÓPOLIS;OP132;JOTUR;EQ10;CONNECTION CCIT 4.0;110;1;1%
46113;COT24;GVBUS;OP113;METROPOLITANA TRANSPORTES E SERVIÇOS LTDA.;EQ10;CONNECTION CCIT 4.0;71;0;0%
46113;COT24;GVBUS;OP119;SANTA ZITA TRANSPORTES COLETIVOS LTDA.;EQ10;CONNECTION CCIT 4.0;111;0;0%
46113;COT24;GVBUS;OP117;VIAÇÃO SERRANA LTDA.;EQ10;CONNECTION CCIT 4.0;124;0;0%
46113;COT1;Transfacil;OP15;Plena Transportes e Turismo Ltda;EQ10;CONNECTION CCIT 4.0;91;0;0%
46113;COT1;Transfacil;OP26;Trans oeste Transportes Urbanos Ltda;EQ10;CONNECTION CCIT 4.0;111;0;0%
46113;COT1;Transfacil;OP5;Betânia Ônibus Ltda;EQ10;CONNECTION CCIT 4.0;122;0;0%
46113;COT33;FLORIANÓPOLIS;OP131;BIGUAÇU;EQ10;CONNECTION CCIT 4.0;140;1;1%
46113;COT1;Transfacil;OP2;Auto Omnibus Nova Suissa Ltda;EQ10;CONNECTION CCIT 4.0;128;0;0%
