DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
45200;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;27;39%
45200;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;9;30%
45231;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;41;59%
45231;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;8;35%
45231;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;10;2;20%
45231;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;19;28%
45231;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;11;37%
45261;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;20;29%
45261;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;11;52%
45261;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;1;5%
45261;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;15;22%
45261;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;20;67%
45292;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;22;31%
45292;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;13;62%
45292;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;2;9%
45292;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;7;10%
45292;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;11;37%
45323;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;34;49%
45323;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;10;48%
45323;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;4;18%
45323;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;29;42%
45323;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;13;43%
45352;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;10;48%
45352;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;4;18%
45352;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;29;42%
45352;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;36;51%
45352;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;7;23%
45383;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;6;20%
45383;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;14;67%
45383;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;4;18%
45383;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;28;41%
45383;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;36;51%
45413;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;49;70%
45413;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;9;30%
45413;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;7;33%
45413;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;3;14%
45413;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;21;30%
45292;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
45444;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;46;66%
45444;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;11;37%
45444;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;10;48%
45444;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;8;36%
45444;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;18;26%
45474;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;29;97%
45474;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;9;43%
45474;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;5;23%
45474;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;14;20%
45474;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;50;71%
45505;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;3;14%
45505;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;21;9;43%
45505;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;28;93%
45536;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;41;137%
45505;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;29;42%
45536;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;14;20%
45323;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
45352;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
45536;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;3;14%
45536;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;9;39%
45505;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;44;63%
45536;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;31;44%
45566;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;30;43%
45566;COT34;BRT SSA;OP61;Setps (Transcard);EQ28;ATM;22;1;5%
45566;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;23;11;48%
45566;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;69;11;16%
45383;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
